Feature,key1,key2
PRESTOP_exec,podspec_containers_lifecycle_preStop_exec,deploymentspec_template_spec_containers_lifecycle_preStop_exec
PRESTOP_EXEC_command,podspec_containers_lifecycle_preStop_exec_command,deploymentspec_template_spec_containers_lifecycle_preStop_exec_command
PRESTOP_httpGet,podspec_containers_lifecycle_preStop_httpGet,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet
PRESTOP_HTTPGET_host,podspec_containers_lifecycle_preStop_httpGet_host,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_host
PRESTOP_HTTPGET_httpHeaders,podspec_containers_lifecycle_preStop_httpGet_httpHeaders,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_httpHeaders
PRESTOP_HTTPHEADERS_name,podspec_containers_lifecycle_preStop_httpGet_httpHeaders_name,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_httpHeaders_name
PRESTOP_HTTPHEADERS_value,podspec_containers_lifecycle_preStop_httpGet_httpHeaders_value,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_httpHeaders_value
PRESTOP_HTTPGET_path,podspec_containers_lifecycle_preStop_httpGet_path,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_path
PRESTOP_HTTPGET_port,podspec_containers_lifecycle_preStop_httpGet_port,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_port
PRESTOP_HTTPGET_scheme,podspec_containers_lifecycle_preStop_httpGet_scheme,deploymentspec_template_spec_containers_lifecycle_preStop_httpGet_scheme
PRESTOP_sleep,podspec_containers_lifecycle_preStop_sleep,deploymentspec_template_spec_containers_lifecycle_preStop_sleep
PRESTOP_SLEEP_seconds,podspec_containers_lifecycle_preStop_sleep_seconds,deploymentspec_template_spec_containers_lifecycle_preStop_sleep_seconds
CONTAINERS_livenessProbe,podspec_containers_livenessProbe,deploymentspec_template_spec_containers_livenessProbe
LIVENESSPROBE_exec,podspec_containers_livenessProbe_exec,deploymentspec_template_spec_containers_livenessProbe_exec
LIVENESSPROBE_EXEC_command,podspec_containers_livenessProbe_exec_command,deploymentspec_template_spec_containers_livenessProbe_exec_command
LIVENESSPROBE_failureThreshold,podspec_containers_livenessProbe_failureThreshold,deploymentspec_template_spec_containers_livenessProbe_failureThreshold
LIVENESSPROBE_grpc,podspec_containers_livenessProbe_grpc,deploymentspec_template_spec_containers_livenessProbe_grpc
LIVENESSPROBE_GRPC_port,podspec_containers_livenessProbe_grpc_port,deploymentspec_template_spec_containers_livenessProbe_grpc_port
LIVENESSPROBE_GRPC_service,podspec_containers_livenessProbe_grpc_service,deploymentspec_template_spec_containers_livenessProbe_grpc_service
LIVENESSPROBE_httpGet,podspec_containers_livenessProbe_httpGet,deploymentspec_template_spec_containers_livenessProbe_httpGet
LIVENESSPROBE_HTTPGET_host,podspec_containers_livenessProbe_httpGet_host,deploymentspec_template_spec_containers_livenessProbe_httpGet_host
LIVENESSPROBE_HTTPGET_httpHeaders,podspec_containers_livenessProbe_httpGet_httpHeaders,deploymentspec_template_spec_containers_livenessProbe_httpGet_httpHeaders
LIVENESSPROBE_HTTPHEADERS_name,podspec_containers_livenessProbe_httpGet_httpHeaders_name,deploymentspec_template_spec_containers_livenessProbe_httpGet_httpHeaders_name
LIVENESSPROBE_HTTPHEADERS_value,podspec_containers_livenessProbe_httpGet_httpHeaders_value,deploymentspec_template_spec_containers_livenessProbe_httpGet_httpHeaders_value
LIVENESSPROBE_HTTPGET_path,podspec_containers_livenessProbe_httpGet_path,deploymentspec_template_spec_containers_livenessProbe_httpGet_path
LIVENESSPROBE_HTTPGET_port,podspec_containers_livenessProbe_httpGet_port,deploymentspec_template_spec_containers_livenessProbe_httpGet_port
LIVENESSPROBE_HTTPGET_scheme,podspec_containers_livenessProbe_httpGet_scheme,deploymentspec_template_spec_containers_livenessProbe_httpGet_scheme
LIVENESSPROBE_initialDelaySeconds,podspec_containers_livenessProbe_initialDelaySeconds,deploymentspec_template_spec_containers_livenessProbe_initialDelaySeconds
LIVENESSPROBE_periodSeconds,podspec_containers_livenessProbe_periodSeconds,deploymentspec_template_spec_containers_livenessProbe_periodSeconds
LIVENESSPROBE_successThreshold,podspec_containers_livenessProbe_successThreshold,deploymentspec_template_spec_containers_livenessProbe_successThreshold
LIVENESSPROBE_timeoutSeconds,podspec_containers_livenessProbe_timeoutSeconds,deploymentspec_template_spec_containers_livenessProbe_timeoutSeconds
LIVENESSPROBE_tcpSocket,podspec_containers_livenessProbe_tcpSocket,deploymentspec_template_spec_containers_livenessProbe_tcpSocket
LIVENESSPROBE_TCPSOCKET_port,podspec_containers_livenessProbe_tcpSocket_port,deploymentspec_template_spec_containers_livenessProbe_tcpSocket_port
LIVENESSPROBE_TCPSOCKET_host,podspec_containers_livenessProbe_tcpSocket_host,deploymentspec_template_spec_containers_livenessProbe_tcpSocket_host
LIVENESSPROBE_terminationGracePeriodSeconds,podspec_containers_livenessProbe_terminationGracePeriodSeconds,deploymentspec_template_spec_containers_livenessProbe_terminationGracePeriodSeconds
CONTAINERS_ports,podspec_containers_ports,deploymentspec_template_spec_containers_ports
CONTAINERS_PORTS_containerPort,podspec_containers_ports_containerPort,deploymentspec_template_spec_containers_ports_containerPort
CONTAINERS_PORTS_hostIP,podspec_containers_ports_hostIP,deploymentspec_template_spec_containers_ports_hostIP
CONTAINERS_PORTS_hostPort,podspec_containers_ports_hostPort,deploymentspec_template_spec_containers_ports_hostPort
CONTAINERS_PORTS_name,podspec_containers_ports_name,deploymentspec_template_spec_containers_ports_name
CONTAINERS_PORTS_protocol,podspec_containers_ports_protocol,deploymentspec_template_spec_containers_ports_protocol
PROTOCOL_UDP,-,-
PROTOCOL_TCP,-,-
PROTOCOL_SCTP,-,-
CONTAINERS_readinessProbe,podspec_containers_readinessProbe,deploymentspec_template_spec_containers_readinessProbe
READINESSPROBE_exec,podspec_containers_readinessProbe_exec,deploymentspec_template_spec_containers_readinessProbe_exec
READINESSPROBE_EXEC_command,podspec_containers_readinessProbe_exec_command,deploymentspec_template_spec_containers_readinessProbe_exec_command
READINESSPROBE_failureThreshold,podspec_containers_readinessProbe_failureThreshold,deploymentspec_template_spec_containers_readinessProbe_failureThreshold
READINESSPROBE_grpc,podspec_containers_readinessProbe_grpc,deploymentspec_template_spec_containers_readinessProbe_grpc
READINESSPROBE_GRPC_port,podspec_containers_readinessProbe_grpc_port,deploymentspec_template_spec_containers_readinessProbe_grpc_port
READINESSPROBE_GRPC_service,podspec_containers_readinessProbe_grpc_service,deploymentspec_template_spec_containers_readinessProbe_grpc_service
READINESSPROBE_httpGet,podspec_containers_readinessProbe_httpGet,deploymentspec_template_spec_containers_readinessProbe_httpGet
READINESSPROBE_HTTPGET_host,podspec_containers_readinessProbe_httpGet_host,deploymentspec_template_spec_containers_readinessProbe_httpGet_host
READINESSPROBE_HTTPGET_httpHeaders,podspec_containers_readinessProbe_httpGet_httpHeaders,deploymentspec_template_spec_containers_readinessProbe_httpGet_httpHeaders
READINESSPROBE_HTTPHEADERS_name,podspec_containers_readinessProbe_httpGet_httpHeaders_name,deploymentspec_template_spec_containers_readinessProbe_httpGet_httpHeaders_name
READINESSPROBE_HTTPHEADERS_value,podspec_containers_readinessProbe_httpGet_httpHeaders_value,deploymentspec_template_spec_containers_readinessProbe_httpGet_httpHeaders_value
READINESSPROBE_HTTPGET_path,podspec_containers_readinessProbe_httpGet_path,deploymentspec_template_spec_containers_readinessProbe_httpGet_path
READINESSPROBE_HTTPGET_port,podspec_containers_readinessProbe_httpGet_port,deploymentspec_template_spec_containers_readinessProbe_httpGet_port
READINESSPROBE_HTTPGET_scheme,podspec_containers_readinessProbe_httpGet_scheme,deploymentspec_template_spec_containers_readinessProbe_httpGet_scheme
READINESSPROBE_initialDelaySeconds,podspec_containers_readinessProbe_initialDelaySeconds,deploymentspec_template_spec_containers_readinessProbe_initialDelaySeconds
READINESSPROBE_periodSeconds,podspec_containers_readinessProbe_periodSeconds,deploymentspec_template_spec_containers_readinessProbe_periodSeconds
READINESSPROBE_successThreshold,podspec_containers_readinessProbe_successThreshold,deploymentspec_template_spec_containers_readinessProbe_successThreshold
READINESSPROBE_timeoutSeconds,podspec_containers_readinessProbe_timeoutSeconds,deploymentspec_template_spec_containers_readinessProbe_timeoutSeconds
READINESSPROBE_tcpSocket,podspec_containers_readinessProbe_tcpSocket,deploymentspec_template_spec_containers_readinessProbe_tcpSocket
READINESSPROBE_TCPSOCKET_port,podspec_containers_readinessProbe_tcpSocket_port,deploymentspec_template_spec_containers_readinessProbe_tcpSocket_port
READINESSPROBE_TCPSOCKET_host,podspec_containers_readinessProbe_tcpSocket_host,deploymentspec_template_spec_containers_readinessProbe_tcpSocket_host
READINESSPROBE_terminationGracePeriodSeconds,podspec_containers_readinessProbe_terminationGracePeriodSeconds,deploymentspec_template_spec_containers_readinessProbe_terminationGracePeriodSeconds
CONTAINERS_resizePolicy,podspec_containers_resizePolicy,deploymentspec_template_spec_containers_resizePolicy
CONTAINERS_resizePolicy,podspec_containers_resizePolicy,deploymentspec_template_spec_containers_resizePolicy
RESIZEPOLICY_resourceName,podspec_containers_resizePolicy_resourceName,deploymentspec_template_spec_containers_resizePolicy_resourceName
CONTAINERS_RESIZEPOLICY_RESTARTPOLICY_cpu,podspec_containers_resizePolicy_restartPolicy_cpu,deploymentspec_template_spec_containers_resizePolicy_restartPolicy_cpu
RESIZEPOLICY_restartPolicy,podspec_containers_resizePolicy_restartPolicy,deploymentspec_template_spec_containers_resizePolicy_restartPolicy
CONTAINERS_restartPolicy,podspec_containers_restartPolicy,deploymentspec_template_spec_containers_restartPolicy
CONTAINERS_resources,podspec_containers_resources,deploymentspec_template_spec_containers_resources
RESOURCES_request,podspec_containers_resources_request,deploymentspec_template_spec_containers_resources_request
RESOURCES_limits,podspec_containers_resources_limits,deploymentspec_template_spec_containers_resources_limits
REQUEST_cpu,podspec_containers_resources_request_cpu,deploymentspec_template_spec_containers_resources_request_cpu
REQUEST_memory,podspec_containers_resources_request_memory,deploymentspec_template_spec_containers_resources_request_memory
LIMITS_cpu,podspec_containers_resources_limits_cpu,deploymentspec_template_spec_containers_resources_limits_cpu
LIMITS_memory,podspec_containers_resources_limits_memory,deploymentspec_template_spec_containers_resources_limits_memory
RESOURCES_CLAIMS_name,podspec_containers_resources_claims_name,deploymentspec_template_spec_containers_resources_claims_name
CONTAINERS_securityContext,podspec_containers_securityContext,deploymentspec_template_spec_containers_securityContext
CONTAINERS_SECURITYCONTEXT_allowPrivilegeEscalation,podspec_containers_securityContext_allowPrivilegeEscalation,deploymentspec_template_spec_containers_securityContext_allowPrivilegeEscalation
CONTAINERS_SECURITYCONTEXT_privileged,podspec_containers_securityContext_privileged,deploymentspec_template_spec_containers_securityContext_privileged
CONTAINERS_SECURITYCONTEXT_procMount,podspec_containers_securityContext_procMount,deploymentspec_template_spec_containers_securityContext_procMount
CONTAINERS_SECURITYCONTEXT_readOnlyRootFilesystem,podspec_containers_securityContext_readOnlyRootFilesystem,deploymentspec_template_spec_containers_securityContext_readOnlyRootFilesystem
CONTAINERS_SECURITYCONTEXT_runAsGroup,podspec_containers_securityContext_runAsGroup,deploymentspec_template_spec_containers_securityContext_runAsGroup
CONTAINERS_SECURITYCONTEXT_runAsNonRoot,podspec_containers_securityContext_runAsNonRoot,deploymentspec_template_spec_containers_securityContext_runAsNonRoot
